,Educational Level,Immigration Status,Gender,Age,str,Name
644,College level,"{'Origin': 'Switzerland-Geneva', 'Destination': 'Wales-Barry', 'Domestic Migration': 0, 'International Migration': 1}",Male,73,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Switzerland-Geneva"",
    ""Destination"": ""Wales-Barry"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""73""
}",john-armleder
645,College level,"{'Origin': 'Poland-Waliły', 'Destination': 'Poland-Warsaw', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,65,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Poland-Waliły"",
    ""Destination"": ""Poland-Warsaw"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""65""
}",leon-tarasewicz
646,Master level,"{'Origin': 'Romania', 'Destination': 'Various international locations', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,44,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Romania"",
    ""Destination"": ""Various international locations"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""44""
}",mircea-cantor
647,College level,"{'Origin': 'Vietnam-Vũng Tàu', 'Destination': 'Denmark', 'Domestic Migration': 0, 'International Migration': 1}",Male,46,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Vietnam-Vũng Tàu"",
    ""Destination"": ""Denmark"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""46""
}",danh-vo
648,College level,"{'Origin': 'Iran-Tehran', 'Destination': 'Italy, Japan', 'Domestic Migration': 0, 'International Migration': 1}",Male,76,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Iran-Tehran"",
    ""Destination"": ""Italy, Japan"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""76""
}",abbas-kiarostami
649,College level,"{'Origin': 'USA-Nashville, Tennessee', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,88,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Nashville, Tennessee"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""88""
}",robert-ryman
650,Master level,"{'Origin': 'United States', 'Destination': 'United States', 'Domestic Migration': 1, 'International Migration': 0}",Male,84,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""United States"",
    ""Destination"": ""United States"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""84""
}",lyman-kipp
651,No formal education,"{'Origin': 'Switzerland-Muralto', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,84,"{
  ""Educational Level"": ""No formal education"",
  ""Immigration Status"": {
    ""Origin"": ""Switzerland-Muralto"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""84""
}",niele-toroni
652,College level,"{'Origin': 'Korea-Empire of Japan', 'Destination': 'South Korea-Seoul', 'Domestic Migration': 1, 'International Migration': 0}",Male,91,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Korea-Empire of Japan"",
    ""Destination"": ""South Korea-Seoul"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""91""
}",park-seo-bo
653,Master level,"{'Origin': 'USA-North Tonawanda', 'Destination': 'USA-New York', 'Domestic Migration': 1, 'International Migration': 0}",Male,84,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-North Tonawanda"",
    ""Destination"": ""USA-New York"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""84""
}",robert-mangold
654,College level,"{'Origin': 'USA-San Francisco', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,85,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-San Francisco"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""85""
}",richard-serra
655,College level,"{'Origin': 'Scotland-Dundee', 'Destination': 'UK-Nottingham, UK-Birmingham', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,Not available,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Scotland-Dundee"",
    ""Destination"": ""UK-Nottingham, UK-Birmingham"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""Not available""
}",david-batchelor
656,College level,"{'Origin': 'Canada-Vancouver', 'Destination': 'Canada-Victoria', 'Domestic Migration': 1, 'International Migration': 0}",Male,69,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Canada-Vancouver"",
    ""Destination"": ""Canada-Victoria"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""69""
}",ronald-bladen
657,College level,"{'Origin': 'USA-South Orange, New Jersey', 'Destination': 'Germany-Nuremberg', 'Domestic Migration': 1, 'International Migration': 1}",Male,68,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-South Orange, New Jersey"",
    ""Destination"": ""Germany-Nuremberg"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""68""
}",tony-smith
658,Taught by other artists,"{'Origin': 'Italy-Abbiategrasso', 'Destination': 'Italy-Vacciago', 'Domestic Migration': 1, 'International Migration': 0}",Male,74,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Italy-Abbiategrasso"",
    ""Destination"": ""Italy-Vacciago"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""74""
}",antonio-calderara
659,College level,"{'Origin': 'Germany-Munich', 'Destination': 'United States-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Female,79,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Germany-Munich"",
    ""Destination"": ""United States-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""79""
}",ruth-vollmer
660,College level,"{'Origin': 'France-Nantes', 'Destination': 'France-Paris', 'Domestic Migration': 1, 'International Migration': 0}",Male,68,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""France-Nantes"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""68""
}",martin-barre
661,College level,"{'Origin': 'Netherlands-Delft', 'Destination': 'Netherlands-Delft', 'Domestic Migration': 1, 'International Migration': 0}",Male,80,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Netherlands-Delft"",
    ""Destination"": ""Netherlands-Delft"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""80""
}",johannes-jan-schoonhoven
662,Master level,"{'Origin': 'USA-Hastings', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Female,89,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Hastings"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""89""
}",sheila-hicks
663,Taught by other artists,"{'Origin': 'France-Paris', 'Destination': 'France-Paris', 'Domestic Migration': 1, 'International Migration': 0}",Male,61,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""France-Paris"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""61""
}",michel-parmentier
664,Master level,"{'Origin': 'USA-Neosho', 'Destination': 'France', 'Domestic Migration': 0, 'International Migration': 1}",Male,93,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Neosho"",
    ""Destination"": ""France"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""93""
}",james-bishop
665,Master level,"{'Origin': 'Norway', 'Destination': 'USA', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,84,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Norway"",
    ""Destination"": ""USA"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""84""
}",jan-groth
666,College level,"{'Origin': 'USA-New York City', 'Destination': 'USA-East Hampton', 'Domestic Migration': 1, 'International Migration': 0}",Male,83,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-New York City"",
    ""Destination"": ""USA-East Hampton"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""83""
}",paul-brach
667,Master level,"{'Origin': 'Greece-Agios Nikolaos, Laconia', 'Destination': 'United States-Brooklyn, New York', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,86,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Greece-Agios Nikolaos, Laconia"",
    ""Destination"": ""United States-Brooklyn, New York"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""86""
}",stephen-antonakos
668,College level,"{'Origin': 'Italy-Coazze', 'Destination': 'USA-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Male,76,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Italy-Coazze"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""76""
}",gianni-piacentino
669,College level,"{'Origin': 'USA-Fort Wayne, Indiana', 'Destination': 'USA-Galisteo, New Mexico', 'Domestic Migration': 1, 'International Migration': 0}",Male,79,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Fort Wayne, Indiana"",
    ""Destination"": ""USA-Galisteo, New Mexico"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""79""
}",bruce-nauman
670,College level,"{'Origin': 'USA-Lake Charles', 'Destination': 'Multiple - New York City, Santa Fe, Kastellorizo, Ahmedabad', 'Domestic Migration': 1, 'International Migration': 1}",Female,81,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Lake Charles"",
    ""Destination"": ""Multiple - New York City, Santa Fe, Kastellorizo, Ahmedabad"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""81""
}",lynda-benglis
671,College level,"{'Origin': 'USA-Passaic, New Jersey', 'Destination': 'USA-Clifton, New Jersey', 'Domestic Migration': 1, 'International Migration': 0}",Male,35,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Passaic, New Jersey"",
    ""Destination"": ""USA-Clifton, New Jersey"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""35""
}",robert-smithson
672,College level,"{'Origin': 'USA-New York City', 'Destination': 'USA-Hiko, Nevada', 'Domestic Migration': 1, 'International Migration': 0}",Male,78,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-New York City"",
    ""Destination"": ""USA-Hiko, Nevada"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""78""
}",michael-heizer
673,Master level,"{'Origin': 'USA-Louisiana', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,78,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Louisiana"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""78""
}",keith-sonnier
674,Taught by other artists,"{'Origin': 'Poland-Warsaw', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Unknown,44,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Poland-Warsaw"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Unknown"",
  ""Age"": ""44""
}",andre-cadere
675,Master level,"{'Origin': 'USA-Bronxville, New York', 'Destination': 'USA-New Haven, Connecticut', 'Domestic Migration': 1, 'International Migration': 0}",Unknown,59,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Bronxville, New York"",
    ""Destination"": ""USA-New Haven, Connecticut"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Unknown"",
  ""Age"": ""59""
}",fred-sandback
676,College level,"{'Origin': 'USA-Sonoma', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,44,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Sonoma"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""44""
}",christopher-wilmarth
677,College level,"{'Origin': 'Japan-Morioka', 'Destination': 'Japan-Tokyo', 'Domestic Migration': 1, 'International Migration': 0}",Male,77,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Japan-Morioka"",
    ""Destination"": ""Japan-Tokyo"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""77""
}",kishio-suga
678,College level,"{'Origin': 'Germany-Köln', 'Destination': ['Germany-Aachen', 'Switzerland-Stäfa'], 'Domestic Migration': 1, 'International Migration': 1}",Not specified,85,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Germany-Köln"",
    ""Destination"": [""Germany-Aachen"", ""Switzerland-Stäfa""],
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""85""
}",joachim-bandau
679,Master level,"{'Origin': 'USA-New Brunswick', 'Destination': 'Belgium-Brussels', 'Domestic Migration': 0, 'International Migration': 1}",Male,83,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-New Brunswick"",
    ""Destination"": ""Belgium-Brussels"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""83""
}",peter-downsbrough
680,Master level,"{'Origin': 'Italy-Cappelle sul Tavo', 'Destination': 'Italy-Cappelle sul Tavo', 'Domestic Migration': 0, 'International Migration': 0}",Male,79,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Italy-Cappelle sul Tavo"",
    ""Destination"": ""Italy-Cappelle sul Tavo"",
    ""Domestic Migration"": 0,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""79""
}",ettore-spalletti
681,Master level,"{'Origin': 'Japan-Tokyo', 'Destination': 'Germany-Neuss', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,Approximately 72,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Japan-Tokyo"",
    ""Destination"": ""Germany-Neuss"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""Approximately 72""
}",katsuhito-nishikawa
682,College level,"{'Origin': 'Scotland-Edinburgh', 'Destination': 'Scotland-Edinburgh', 'Domestic Migration': 1, 'International Migration': 0}",Male,59,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Scotland-Edinburgh"",
    ""Destination"": ""Scotland-Edinburgh"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""59""
}",callum-innes
683,Master level,"{'Origin': 'USA-Los Angeles', 'Destination': 'USA-Flagstaff', 'Domestic Migration': 1, 'International Migration': 0}",Male,78,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Los Angeles"",
    ""Destination"": ""USA-Flagstaff"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""78""
}",james-turrell
684,College level,"{'Origin': 'Canada-Vancouver', 'Destination': 'United States-Los Angeles', 'Domestic Migration': 0, 'International Migration': 1}",Female,55,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Canada-Vancouver"",
    ""Destination"": ""United States-Los Angeles"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""55""
}",gisela-colon
685,College level,"{'Origin': 'Japan-Tokyo', 'Destination': 'United States-Los Angeles', 'Domestic Migration': 0, 'International Migration': 1}",Male,76,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Japan-Tokyo"",
    ""Destination"": ""United States-Los Angeles"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""76""
}",nobuo-sekine
686,College level,"{'Origin': 'USA-Lorain, Ohio', 'Destination': 'USA-New York', 'Domestic Migration': 1, 'International Migration': 0}",Female,100,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Lorain, Ohio"",
    ""Destination"": ""USA-New York"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""100""
}",lenore-tawney
687,College level,"{'Origin': 'Greece-Piraeus', 'Destination': 'Italy-Rome', 'Domestic Migration': 0, 'International Migration': 1}",Male,80,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Greece-Piraeus"",
    ""Destination"": ""Italy-Rome"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""80""
}",jannis-kounellis
688,Master level,"{'Origin': 'UK-London', 'Destination': 'Germany-Nuremberg', 'Domestic Migration': 1, 'International Migration': 0}",Unknown,Unknown,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""UK-London"",
    ""Destination"": ""Germany-Nuremberg"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Unknown"",
  ""Age"": ""Unknown""
}",tim-scott
689,College level,"{'Origin': 'USA-Plainfield, New Jersey', 'Destination': 'Germany-Kassel', 'Domestic Migration': 0, 'International Migration': 1}",Male,83,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Plainfield, New Jersey"",
    ""Destination"": ""Germany-Kassel"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""83""
}",gary-kuehn
690,College level,"{'Origin': 'Italy-Turin', 'Destination': 'Italy-Turin', 'Domestic Migration': 1, 'International Migration': 0}",Male,80,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Italy-Turin"",
    ""Destination"": ""Italy-Turin"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""80""
}",piero-gilardi
691,PhD level,"{'Origin': 'Canada', 'Destination': 'United States', 'Domestic Migration': 0, 'International Migration': 1}",Female,89,"{
  ""Educational Level"": ""PhD level"",
  ""Immigration Status"": {
    ""Origin"": ""Canada"",
    ""Destination"": ""United States"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""89""
}",dorothea-rockburne
692,Taught by other artists,"{'Origin': 'Belgium-Malines', 'Destination': 'Belgium', 'Domestic Migration': 1, 'International Migration': 0}",Male,68,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Belgium-Malines"",
    ""Destination"": ""Belgium"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""68""
}",guy-mees
693,College level,"{'Origin': ""Newfoundland-St. John's"", 'Destination': 'United States-Boston', 'Domestic Migration': 0, 'International Migration': 1}",Female,82,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Newfoundland-St. John's"",
    ""Destination"": ""United States-Boston"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""82""
}",jacqueline-winsor
694,No formal education,"{'Origin': 'Italy-Turin', 'Destination': 'Italy-Turin', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,86,"{
  ""Educational Level"": ""No formal education"",
  ""Immigration Status"": {
    ""Origin"": ""Italy-Turin"",
    ""Destination"": ""Italy-Turin"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""86""
}",giorgio-griffa
695,Master level,"{'Origin': 'UK-London', 'Destination': 'UK-Cambridge', 'Domestic Migration': 1, 'International Migration': 0}",Male,73,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""UK-London"",
    ""Destination"": ""UK-Cambridge"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""73""
}",antony-gormley
696,Master level,"{'Origin': 'USA-Harrisburg', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Female,74,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Harrisburg"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""74""
}",alice-aycock
697,College level,"{'Origin': 'USA-Springfield, Illinois', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,78,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Springfield, Illinois"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""78""
}",david-hammons
698,Master level,"{'Origin': 'Romania-Pitești', 'Destination': 'Romania-Bucharest', 'Domestic Migration': 1, 'International Migration': 0}",Male,76,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Romania-Pitești"",
    ""Destination"": ""Romania-Bucharest"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""76""
}",ion-pantilie
699,College level,"{'Origin': 'England-Newcastle upon Tyne', 'Destination': 'England-London', 'Domestic Migration': 1, 'International Migration': 0}",Female,78,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""England-Newcastle upon Tyne"",
    ""Destination"": ""England-London"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""78""
}",phyllida-barlow
700,College level,"{'Origin': 'USA-Santa Monica', 'Destination': 'USA', 'Domestic Migration': 0, 'International Migration': 1}",Female,N/A,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Santa Monica"",
    ""Destination"": ""USA"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""N/A""
}",lita-albuquerque
701,College level,"{'Origin': 'UK-Wales', 'Destination': 'UK-London', 'Domestic Migration': 1, 'International Migration': 0}",Male,72,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""UK-Wales"",
    ""Destination"": ""UK-London"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""72""
}",richard-deacon
702,College level,"{'Origin': 'UK-Blackburn, Lancashire', 'Destination': 'UK-London', 'Domestic Migration': 1, 'International Migration': 0}",Female,73,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""UK-Blackburn, Lancashire"",
    ""Destination"": ""UK-London"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""73""
}",alison-wilding
703,Taught by other artists,"{'Origin': 'Brazil-Rio de Janeiro', 'Destination': 'Multiple countries', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,57,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Brazil-Rio de Janeiro"",
    ""Destination"": ""Multiple countries"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""57""
}",ernesto-neto
704,Master level,"{'Origin': 'USA-Lima', 'Destination': 'USA-Columbus', 'Domestic Migration': 1, 'International Migration': 0}",Female,65,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Lima"",
    ""Destination"": ""USA-Columbus"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""65""
}",ann-hamilton
705,Master level,"{'Origin': 'USA-Seattle', 'Destination': 'Canada-Vancouver', 'Domestic Migration': 0, 'International Migration': 1}",Female,63,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Seattle"",
    ""Destination"": ""Canada-Vancouver"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""63""
}",jessica-stockholder
706,College level,"{'Origin': 'Ghana-Anyako', 'Destination': 'Nigeria', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,79,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Ghana-Anyako"",
    ""Destination"": ""Nigeria"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""79""
}",el-anatsui
707,Master level,"{'Origin': 'USA-Newcastle', 'Destination': 'USA-Los Angeles', 'Domestic Migration': 1, 'International Migration': 0}",Male,41,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Newcastle"",
    ""Destination"": ""USA-Los Angeles"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""41""
}",jason-rhoades
